Type,Name,Description,Image,Reference,NACE,Country,starting date,ending date
Targeted companies (startups),"BABYBOOK, S.A.",,,,J - Information and communication,PT,2011,
Targeted companies (startups),"BGUESTNOW, S.A.",,,,J - Information and communication,PT,2014,
Targeted companies (startups),"BEYONDEVICES, S.A.",,,,C - Manufacturing,PT,2012,
Targeted companies (startups),"BERD - PROJECTO, INVESTIGAÇÃO E ENGENHARIA DE PONTES S.A.",,,,"M - Professional, scientific and technical activities",PT,2006,
Targeted companies (startups),Code Place (Songvice B.V.),,,,Foreign Company,NL,2014,
Targeted companies (startups),"COLLAB - SOLUÇÕES INFORMÁTICAS DE COMUNICAÇÃO E COLABORAÇÃO, S.A.",,,,J - Information and communication,PT,2006,
Targeted companies (startups),"CONVERDE, S.A.",,,,C - Manufacturing,PT,2011,
Targeted companies (startups),"COREWORKS - PROJECTOS DE CIRCUITOS E SISTEMAS ELECTRÓNICOS, S.A.",,,,C - Manufacturing,PT,2006,
Targeted companies (startups),"CORTEX INTELLIGENCE TECNOLOGIA, LDA",,,,J - Information and communication,PT,2011,
Targeted companies (startups),CRITICAL LINKS S.A.,,,,J - Information and communication,PT,2006,
Targeted companies (startups),"CRITICAL MANUFACTURING, S.A.",,,,J - Information and communication,PT,2009,
Targeted companies (startups),"CRITICAL MATERIALS, S.A.",,,,J - Information and communication,PT,2008,
Targeted companies (startups),"CRIVO INVESTIGAÇÃO APLICADA, S.A.",,,,"M - Professional, scientific and technical activities",PT,2007,
Targeted companies (startups),"CSIDE - SOLUÇÕES INTELIGENTES, S.A.",,,,J - Information and communication,PT,2008,
Targeted companies (startups),"CUBO ENVIRONMENTAL TECHNOLOGIES, S.A.",,,,C - Manufacturing,PT,2014,
Targeted companies (startups),BULLET SOLUTIONS - SISTEMAS DE INFORMAÇÃO S.A.,,,,J - Information and communication,PT,2006,
Targeted companies (startups),"BW - BRIDGES WORLDWIDE HOLDING, SGPS, S.A.",,,,K - Financial and insurance activities,PT,2011,
Targeted companies (startups),"CARDMOBILI DESENVOLVIMENTO DE SOFTWARE, S.A.",,,,J - Information and communication,PT,2011,
Targeted companies (startups),"BYCLOSURE, S.A.",,,,J - Information and communication,PT,2008,
Targeted companies (startups),"CBRA GENOMICS, S.A.",,,,"M - Professional, scientific and technical activities",PT,2012,
Targeted companies (startups),"CELL2B - ADVANCED THERAPEUTICS, S.A.",,,,"M - Professional, scientific and technical activities",PT,2011,
Targeted companies (startups),"CHANGING EXPERIENCE, S.A.",,,,J - Information and communication,PT,2009,
Targeted companies (startups),"CEV, S.A.",,,,C - Manufacturing,PT,2006,
